Row Id,Territory ID,Year,X,Y,CLC2012,Pop_den,HFP,Dist_settl,Dist_roads
316,STO,2014,4592599.735,3233948.452,103.9167247,18.24748781,8.29932345,372.3025072,345.6288926
23,NO,2015,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
33,Z,2015,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
43,DZ,2015,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
52,LUE,2015,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
61,UEM,2015,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
72,DN,2015,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
80,MI,2015,4630039.296,3155101.024,104.8840032,28.94130521,11.43220255,276.1928472,667.0800836
97,SL,2015,4613906.051,3161633.967,104.2304019,250.8657979,18.50243733,171.9746319,286.8445583
108,AG,2015,4473473.391,3229545.125,103.9200199,12.57169858,9.212136285,394.2913206,459.8365083
118,LE,2015,4506734.556,3240351.165,103.8153586,40.6775494,10.11884736,404.01936,424.5561638
124,LB,2015,4614354.699,3210187.227,104.0023871,17.82837677,8.764919435,315.7007161,633.9171971
130,KH,2015,4591785.756,3144633.64,103.9169361,33.72096493,11.36105446,339.3470281,241.9875653
136,SP,2015,4633708.149,3169141.227,103.6166435,69.19279745,14.12097095,122.5654596,518.8471946
142,AH,2015,4534779.343,3181598.282,103.5705052,34.56647772,12.26993835,404.5117343,453.8239857
145,SE,2015,4596914.33,3189734.786,103.4621009,85.58102059,16.96811897,140.8154282,313.0823137
151,MU,2015,4329660.624,3325343.777,103.9665688,82.14123675,10.72717775,368.2269041,386.0910402
156,NY,2015,4658037.592,3146401.383,103.5065168,93.05442245,15.52362949,402.067456,411.1260571
161,SPJ,2015,4536235.075,3219263.284,103.7266262,171.8013229,18.36308932,206.7403024,486.9782674
192,MOE,2015,4452359.148,3233463.264,103.0485451,41.87033076,14.48455608,308.2104452,397.7811987
209,WI,2015,4319745.474,3309612.43,103.483364,34.8679067,11.59660815,363.4907246,337.4536729
212,BAT,2015,4218746.004,3295131.796,102.5198786,82.40418968,13.87480719,282.5313728,143.751953
